2026-03-31 20:42:47 | INFO | run_pipeline | Using raw CSV: /Users/cai/Desktop/Data_Engineering_Steven_fix_20260331_204132/data/raw/movies_from_csv.csv
2026-03-31 20:42:47 | INFO | run_pipeline | Using TMDB source file: /Users/cai/Desktop/Data_Engineering_Steven_fix_20260331_204132/data/raw/movies_from_tmdb_fixture.json
2026-03-31 20:42:47 | INFO | IngestPipeline | Starting ingestion stage
2026-03-31 20:42:47 | INFO | csv_loader | Loaded 263 rows from CSV fixture: /Users/cai/Desktop/Data_Engineering_Steven_fix_20260331_204132/data/raw/movies_from_csv.csv
2026-03-31 20:42:47 | INFO | TMDBClient | Loading TMDB data from fixture: /Users/cai/Desktop/Data_Engineering_Steven_fix_20260331_204132/data/raw/movies_from_tmdb_fixture.json
2026-03-31 20:42:47 | INFO | TMDBClient | Loaded 230 rows from TMDB fixture
2026-03-31 20:42:47 | INFO | IngestPipeline | Ingestion completed. csv_rows=263 tmdb_rows=230
2026-03-31 20:42:47 | INFO | clean_movies | Cleaned 263 rows for source=csv
2026-03-31 20:42:47 | INFO | clean_movies | Cleaned 230 rows for source=tmdb
2026-03-31 20:42:47 | INFO | merge_sources | Merged sources into 263 unified movie rows
2026-03-31 20:42:48 | INFO | validate_schema | [post-merge] movies schema validation passed (263 rows)
2026-03-31 20:42:48 | INFO | build_documents | Built 263 movie documents
2026-03-31 20:42:48 | INFO | validate_schema | [post-document-build] document schema validation passed (263 rows)
2026-03-31 20:42:48 | INFO | SQLiteDB | SQLite schema ensured at: /Users/cai/Desktop/Data_Engineering_Steven_fix_20260331_204132/storage/movie_agent.db
2026-03-31 20:42:48 | INFO | MovieRepository | Upserted 263 movie rows
2026-03-31 20:42:48 | INFO | MovieRepository | Upserted 263 document rows
2026-03-31 20:42:48 | WARNING | LocalEmbedder | sentence-transformers unavailable, using deterministic hash fallback. error=No module named 'sentence_transformers'
2026-03-31 20:42:48 | WARNING | MovieVectorStore | chromadb unavailable, using JSON fallback store. error=No module named 'chromadb'
2026-03-31 20:42:48 | INFO | MovieSemanticRetriever | Force rebuilding vector index
2026-03-31 20:42:48 | INFO | MovieSemanticRetriever | Loaded 263 documents from SQLite for indexing
2026-03-31 20:42:48 | INFO | run_pipeline | Pipeline finished successfully
2026-03-31 20:42:48 | WARNING | LocalEmbedder | sentence-transformers unavailable, using deterministic hash fallback. error=No module named 'sentence_transformers'
2026-03-31 20:42:48 | WARNING | MovieVectorStore | chromadb unavailable, using JSON fallback store. error=No module named 'chromadb'
2026-03-31 20:42:48 | INFO | top_rated | get_top_rated_movies returned 5 rows
2026-03-31 20:42:48 | WARNING | LocalEmbedder | sentence-transformers unavailable, using deterministic hash fallback. error=No module named 'sentence_transformers'
2026-03-31 20:42:48 | WARNING | MovieVectorStore | chromadb unavailable, using JSON fallback store. error=No module named 'chromadb'
2026-03-31 20:42:48 | INFO | Evaluator | Evaluation index status: {'status': 'skipped', 'reason': 'index_exists', 'count': 263, 'backend': 'json_fallback'}
2026-03-31 20:42:48 | INFO | top_rated | get_top_rated_movies returned 5 rows
2026-03-31 20:42:48 | INFO | top_rated | get_top_rated_movies returned 5 rows
2026-03-31 20:42:48 | INFO | compare_movies | compare_movies_or_directors mode=director
